[2026-03-01 18-17-32] [ERROR   ] discord: Fehler beim Abrufen oder Löschen von User-Tasks: Cursor closed
[2026-03-01 18-17-32] [ERROR   ] discord: Fehler beim Abrufen oder Löschen von User-Tasks: Cursor closed
[2026-03-01 18-17-32] [ERROR   ] discord: Fehler beim Abrufen oder Löschen von User-Tasks: Cursor closed
[2026-03-01 18-17-32] [ERROR   ] discord: Fehler beim Abrufen oder Löschen von User-Tasks: Cursor closed
[2026-03-01 18-17-32] [ERROR   ] discord: Fehler beim Abrufen oder Löschen von User-Tasks: Cursor closed
[2026-03-01 18-17-33] [ERROR   ] discord: Fehler beim Abrufen oder Aktualisieren von Guild-Tasks: too many values to unpack (expected 2, got 3)
[2026-03-01 18-17-33] [ERROR   ] discord: Fehler beim Abrufen oder Aktualisieren von Guild-Tasks: too many values to unpack (expected 2, got 3)
[2026-03-01 18-17-33] [ERROR   ] discord: Fehler beim Abrufen oder Aktualisieren von Guild-Tasks: too many values to unpack (expected 2, got 3)
[2026-03-01 18-17-33] [ERROR   ] discord: Fehler beim Abrufen oder Aktualisieren von Guild-Tasks: too many values to unpack (expected 2, got 3)
[2026-03-01 18-17-33] [ERROR   ] discord: Fehler beim Abrufen oder Aktualisieren von Guild-Tasks: too many values to unpack (expected 2, got 3)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-01] [ERROR   ] discord: Fehler in reminder_loop: name 'aiomysql' is not defined
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reloaded `tasks.py` | Ausgeführt von luca_nexory(714361420409733171)
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
[2026-03-01 18-18-30] [INFO    ] discord: Reminder loop startet... auf Aufgaben prüfen
